model,dataset,variant,exact_match_vs_fp32,token_mismatch_rate,flips_cured_count,first_divergence_median,benchmark_acc,benchmark_gap_vs_fp32,benchmark_gap_vs_baseline,latency_overhead_percent
Mistral-7B-v0.3,piqa,fp16_lm_head,1.0,0.0,0,-1.0,0.47,-0.04200000000000004,0.0,1.696485908680767
Mistral-7B-v0.3,piqa,attention_lm_head,0.99,0.01,2,0.0,0.512,0.0,0.0020000000000000018,73.43710574170589
Mistral-7B-v0.3,piqa,fp16_attention_lm_head,1.0,0.0,0,-1.0,0.47,-0.04200000000000004,0.0,74.3283557824401
Mistral-7B-v0.3,cmmlu,attention,0.9585798816568047,0.04142011834319527,0,0.0,0.34911242603550297,0.0,0.0,99.38013194741089
Mistral-7B-v0.3,cmmlu,fp16_attention,1.0,0.0,0,-1.0,0.37,0.02088757396449703,0.0,73.98830582976652
Mistral-7B-v0.3,cmmlu,norm,0.9644970414201184,0.03550295857988166,0,0.0,0.34911242603550297,0.0,0.0,7.123261664056191
Mistral-7B-v0.3,cmmlu,fp16_norm,1.0,0.0,0,-1.0,0.37,0.02088757396449703,0.0,7.549667235705981
Mistral-7B-v0.3,cmmlu,lm_head,0.9940828402366864,0.005917159763313609,1,0.0,0.34911242603550297,0.0,0.0,1.9497840429066438
Mistral-7B-v0.3,cmmlu,fp16_lm_head,1.0,0.0,0,-1.0,0.37,0.02088757396449703,0.0,0.3232803054669109
Mistral-7B-v0.3,cmmlu,attention_lm_head,0.9822485207100592,0.01775147928994083,1,0.0,0.34911242603550297,0.0,0.0,102.25544639043144
Mistral-7B-v0.3,cmmlu,fp16_attention_lm_head,1.0,0.0,0,-1.0,0.37,0.02088757396449703,0.0,75.8422194182604
gemma-2-27b,piqa,attention,0.978,0.022,6,0.0,0.586,0.0040000000000000036,-0.01200000000000001,46.06404742453194
gemma-2-27b,piqa,fp16_attention,0.0,1.0,0,0.0,0.46,-0.12199999999999994,0.0,53.66541207812525
gemma-2-27b,piqa,norm,0.966,0.034,0,0.0,0.598,0.016000000000000014,0.0,-4.444699511846006
gemma-2-27b,piqa,fp16_norm,0.0,1.0,0,0.0,0.46,-0.12199999999999994,0.0,1.0960870261088607
gemma-2-27b,piqa,lm_head,0.968,0.032,2,0.0,0.586,0.0040000000000000036,-0.01200000000000001,1.9521095949604605
gemma-2-27b,piqa,fp16_lm_head,0.0,1.0,0,0.0,0.46,-0.12199999999999994,0.0,12.173811281659418
gemma-2-27b,piqa,attention_lm_head,0.992,0.008,7,0.0,0.584,0.0020000000000000018,-0.014000000000000012,50.4047694603299
gemma-2-27b,piqa,fp16_attention_lm_head,0.0,1.0,0,0.0,0.46,-0.12199999999999994,0.0,57.599209729686926
gemma-2-27b,cmmlu,attention,0.9704142011834319,0.029585798816568046,1,0.0,0.591715976331361,-0.011834319526627168,0.0,53.48403775626767
gemma-2-27b,cmmlu,fp16_attention,0.0,1.0,0,0.0,0.21,-0.3935502958579882,0.0,55.03742135286422
gemma-2-27b,cmmlu,norm,0.9822485207100592,0.01775147928994083,0,0.0,0.591715976331361,-0.011834319526627168,0.0,-2.3373096006875094
gemma-2-27b,cmmlu,fp16_norm,0.0,1.0,0,0.0,0.21,-0.3935502958579882,0.0,4.562824266479182
gemma-2-27b,cmmlu,lm_head,0.9822485207100592,0.01775147928994083,1,0.0,0.5976331360946746,-0.005917159763313529,0.00591715976331364,4.693716601652986
gemma-2-27b,cmmlu,fp16_lm_head,0.0,1.0,0,0.0,0.21,-0.3935502958579882,0.0,4.909895077823956
gemma-2-27b,cmmlu,attention_lm_head,0.9940828402366864,0.005917159763313609,2,0.0,0.6035502958579881,0.0,0.011834319526627168,57.83930598632767
gemma-2-27b,cmmlu,fp16_attention_lm_head,0.0,1.0,0,0.0,0.21,-0.3935502958579882,0.0,59.78250229155728
Yi-34B,piqa,attention,0.974,0.026,2,0.0,0.572,-0.008000000000000007,-0.0020000000000000018,132.9864024815367
Yi-34B,piqa,fp16_attention,1.0,0.0,0,-1.0,0.55,-0.029999999999999916,0.0,128.05652341456627
Yi-34B,piqa,norm,0.986,0.014,2,0.0,0.57,-0.010000000000000009,-0.0040000000000000036,4.815492069853744
Yi-34B,piqa,fp16_norm,1.0,0.0,0,-1.0,0.55,-0.029999999999999916,0.0,0.09805246815817181
Yi-34B,piqa,lm_head,0.992,0.008,4,0.0,0.578,-0.0020000000000000018,0.0040000000000000036,1.2457781729978468
Yi-34B,piqa,fp16_lm_head,1.0,0.0,0,-1.0,0.55,-0.029999999999999916,0.0,3.132029867669517
Yi-34B,piqa,attention_lm_head,0.982,0.018,4,0.0,0.578,-0.0020000000000000018,0.0040000000000000036,135.54120795394294
Yi-34B,piqa,fp16_attention_lm_head,1.0,0.0,0,-1.0,0.55,-0.029999999999999916,0.0,133.47926876262224
Yi-34B,cmmlu,attention,0.9940828402366864,0.005917159763313609,0,0.0,0.7751479289940828,-0.00591715976331364,-0.00591715976331364,136.3222498776778
Yi-34B,cmmlu,fp16_attention,1.0,0.0,0,-1.0,0.72,-0.06106508875739647,0.0,136.7139146978803
Yi-34B,cmmlu,norm,0.9822485207100592,0.01775147928994083,0,0.0,0.7751479289940828,-0.00591715976331364,-0.00591715976331364,0.21188333652435443
Yi-34B,cmmlu,fp16_norm,1.0,0.0,0,-1.0,0.72,-0.06106508875739647,0.0,-0.691356656944353
Yi-34B,cmmlu,lm_head,0.9881656804733728,0.011834319526627219,1,0.0,0.7810650887573964,0.0,0.0,1.023251856106544
Yi-34B,cmmlu,fp16_lm_head,1.0,0.0,0,-1.0,0.72,-0.06106508875739647,0.0,1.870817505278377
Yi-34B,cmmlu,attention_lm_head,0.9940828402366864,0.005917159763313609,2,0.0,0.7810650887573964,0.0,0.0,137.7573552875104
Yi-34B,cmmlu,fp16_attention_lm_head,1.0,0.0,0,-1.0,0.72,-0.06106508875739647,0.0,139.31827333408614
