Model,Dataset,Variant,Target Layer,Accuracy,Mismatch Rate
Llama-3.2-3B,piqa,attention_norm,15,0.513,0.504
Llama-3.2-3B,piqa,attention_norm,16,0.51,0.505
Llama-3.2-3B,piqa,attention_norm,17,0.511,0.505
Llama-3.2-3B,piqa,attention_norm,18,0.511,0.505
Llama-3.2-3B,piqa,attention_norm,19,0.512,0.504
Llama-3.2-3B,piqa,attention_norm,20,0.51,0.504
Llama-3.2-3B,piqa,attention_norm,21,0.512,0.505
Llama-3.2-3B,piqa,attention_norm,22,0.511,0.504
Llama-3.2-3B,piqa,attention_norm,23,0.509,0.506
Llama-3.2-3B,piqa,attention_norm,24,0.509,0.504
Llama-3.2-3B,piqa,attention_norm,25,0.51,0.504
Llama-3.2-3B,piqa,attention_norm,26,0.509,0.504
Llama-3.2-3B,piqa,attention_norm,27,0.509,0.503
